Bulbasaur,Grass,318,2
Ivysaur,Grass,405,3
Venusaur,Grass,525,5
Charmander,Fire,309,2
Charmeleon,Fire,405,3
Charizard,Fire,534,5
Squirtle,Water,314,2
Wartortle,Water,405,3
Blastoise,Water,530,5
Caterpie,Bug,195,1
Metapod,Bug,205,2
Butterfree,Bug,395,4
Weedle,Bug,195,1
Kakuna,Bug,205,2
Beedrill,Bug,395,4
Pidgey,Normal,251,1
Pidgeotto,Normal,349,2
Pidgeot,Normal,479,4
Rattata,Normal,235,1
Raticate,Normal,413,3
Spearow,Normal,262,1
Fearow,Normal,442,3
Ekans,Poison,288,1
Arbok,Poison,448,3
Pikachu,Electric,320,2
Raichu,Electric,485,4
Sandshrew,Ground,300,1
Sandslash,Ground,450,3
Nidoran(F),Poison,275,1
Nidorina,Poison,365,3
Nidoqueen,Poison,505,5
Nidoran(M),Poison,273,1
Nidorino,Poison,365,3
Nidoking,Poison,505,5
Clefairy,Fairy,323,3
Clefable,Fairy,483,5
Vulpix,Fire,299,3
Ninetales,Fire,505,5
Jigglypuff,Normal,270,3
Wigglytuff,Normal,435,5
Zubat,Poison,245,1
Golbat,Poison,455,3
Oddish,Grass,320,1
Gloom,Grass,395,3
Vileplume,Grass,490,4
Paras,Bug,285,1
Parasect,Bug,405,3
Venonat,Bug,305,1
Venomoth,Bug,450,3
Diglett,Ground,265,1
Dugtrio,Ground,425,4
Meowth,Normal,290,2
Persian,Normal,440,4
Psyduck,Water,320,2
Golduck,Water,500,4
Mankey,Fighting,305,2
Primeape,Fighting,455,4
Growlithe,Fire,350,2
Arcanine,Fire,555,5
Poliwag,Water,300,1
Poliwhirl,Water,385,3
Poliwrath,Water,510,4
Abra,Psychic,310,1
Kadabra,Psychic,400,3
Alakazam,Psychic,500,5
Machop,Fighting,305,2
Machoke,Fighting,405,4
Machamp,Fighting,505,5
Bellsprout,Grass,300,1
Weepinbell,Grass,390,3
Victreebel,Grass,490,4
Tentacool,Water,335,1
Tentacruel,Water,515,5
Geodude,Rock,300,1
Graveler,Rock,390,3
Golem,Rock,495,4
Ponyta,Fire,410,2
Rapidash,Fire,500,4
Slowpoke,Water,315,2
Slowbro,Water,490,4
Magnemite,Electric,325,1
Magneton,Electric,465,4
Farfetch'd,Normal,377,4
Doduo,Normal,310,2
Dodrio,Normal,470,4
Seel,Water,325,2
Dewgong,Water,475,4
Grimer,Poison,325,1
Muk,Poison,500,3
Shellder,Water,305,1
Cloyster,Water,525,4
Gastly,Ghost,310,1
Haunter,Ghost,405,3
Gengar,Ghost,500,4
Onix,Rock,385,3
Drowzee,Psychic,328,2
Hypno,Psychic,483,4
Krabby,Water,325,1
Kingler,Water,475,3
Voltorb,Electric,330,1
Electrode,Electric,490,3
Exeggcute,Grass,325,1
Exeggutor,Grass,530,5
Cubone,Ground,320,1
Marowak,Ground,425,3
Hitmonlee,Fighting,455,4
Hitmonchan,Fighting,455,4
Lickitung,Normal,385,3
Koffing,Poison,340,1
Weezing,Poison,490,3
Rhyhorn,Ground,345,1
Rhydon,Ground,485,3
Chansey,Normal,450,4
Tangela,Grass,435,3
Kangaskhan,Normal,490,4
Horsea,Water,295,1
Seadra,Water,440,3
Goldeen,Water,320,1
Seaking,Water,450,3
Staryu,Water,340,1
Starmie,Water,520,3
Mr. Mime,Psychic,460,5
Scyther,Bug,500,5
Jynx,Ice,455,5
Electabuzz,Electric,490,5
Magmar,Fire,495,5
Pinsir,Bug,500,4
Tauros,Normal,490,4
Magikarp,Water,200,1
Gyarados,Water,540,5
Lapras,Water,535,5
Ditto,Normal,288,2
Eevee,Normal,325,2
Vaporeon,Water,525,5
Jolteon,Electric,525,5
Flareon,Fire,525,5
Porygon,Normal,395,5
Omanyte,Rock,355,4
Omastar,Rock,495,5
Kabuto,Rock,355,4
Kabutops,Rock,495,5
Aerodactyl,Rock,515,5
Snorlax,Normal,540,4
Articuno,Ice,580,5
Zapdos,Electric,580,5
Moltres,Fire,580,5
Dratini,Dragon,300,2
Dragonair,Dragon,420,3
Dragonite,Dragon,600,5
Mewtwo,Psychic,680,5
Mew,Psychic,780,5
